country,l2_cells,file_kb,anchors
CN,2345879,918272,36668
IN,1919178,741741,30004
NG,82253,31633,9141
PK,52584,20695,5834
BR,50065,19444,5569
ID,39135,15469,4351
US,22921,9304,1435
BD,21256,8288,5179
EG,20969,8165,5243
ET,16976,6744,4244
TR,14961,5760,3741
DE,13787,5341,3449
IR,12367,4775,3094
MX,10624,4146,2653
RU,8837,3511,2096
VN,7228,2833,1777
TH,6949,2716,1741
PH,6160,2440,1540
GB,3976,1617,994
TZ,2604,1048,2604
JP,2552,1014,638
KE,2105,815,2105
SD,2094,805,2094
UG,1959,749,1959
MM,1866,723,1290
PL,1720,708,1720
DZ,1640,631,1640
UA,1547,594,1541
IQ,1462,560,1453
GH,1406,534,1406
AO,1403,544,1403
CA,1387,545,1372
AF,1328,517,1304
AR,1311,520,1303
NP,1226,486,848
CI,1222,477,1222
CO,1200,468,1200
SA,1170,455,1170
IT,1062,407,1062
PE,1034,403,1034
YE,1025,398,1025
KP,1004,398,689
KR,921,368,921
MZ,892,349,892
LK,889,344,889
ZA,854,339,854
CM,843,322,827
SY,782,300,782
NA,744,287,744
BF,721,281,721
VE,710,274,710
TD,708,273,708
MA,635,250,635
ML,629,239,629
ZW,622,247,622
MY,553,211,542
ES,520,206,520
RW,502,193,502
BI,453,175,453
BO,449,176,441
CZ,428,169,422
BY,406,155,403
BE,402,154,402
SS,396,153,393
SL,382,149,382
SO,344,130,344
AZ,342,132,333
JO,340,130,340
HT,337,130,337
SE,326,125,326
TJ,316,124,316
MN,265,103,136
RS,259,102,259
GR,258,100,258
CU,239,93,239
KG,228,87,228
TM,210,81,210
LR,179,68,179
-1,174,68,174
BT,160,62,34
GE,132,51,129
AM,94,36,94
GW,84,32,84
PT,46,18,46
GY,44,17,36
AU,39,16,39
KZ,38,14,26
IE,38,14,26
KH,36,14,27
SR,33,12,25
CY,33,12,33
AT,33,12,24
BJ,31,11,23
UY,31,12,23
NE,30,11,22
CH,30,11,24
LU,27,10,24
GN,26,10,26
VA,25,9,25
UZ,25,9,25
RO,25,9,25
MK,24,9,24
BZ,24,9,21
SZ,24,9,24
JE,24,9,24
LT,24,9,24
ZM,23,9,23
CD,23,9,23
LV,23,9,23
LA,23,9,17
NF,23,9,23
NU,23,8,23
FI,23,9,23
SK,23,8,23
QA,23,9,23
TG,23,8,23
BW,23,9,23
SN,23,9,23
SG,22,9,22
XK,22,8,22
BG,22,8,22
DJ,22,8,22
MR,22,8,22
LS,22,8,22
LY,22,8,22
MS,22,8,22
BL,21,8,21
PY,21,8,21
NI,21,8,21
JM,21,8,21
GI,21,8,21
BA,21,8,21
KW,21,8,21
LI,21,8,21
EE,21,8,21
HK,21,8,21
HU,21,8,21
AL,21,8,21
GA,20,7,20
SI,20,8,20
BN,20,7,20
GT,20,8,20
CG,20,8,20
MG,20,8,20
TN,20,7,20
PA,19,7,19
SV,19,7,19
ER,19,7,16
CF,19,8,19
DO,19,7,19
GL,19,7,19
IM,19,7,19
LB,19,7,19
PS,19,7,19
SX,19,7,19
PR,18,7,18
MD,18,7,18
MF,18,7,18
AQ,18,7,18
AE,17,7,17
GM,17,6,17
TL,17,6,17
ME,17,6,17
HR,17,6,17
DK,17,6,17
FK,17,6,17
PM,17,7,17
HN,16,6,16
MW,16,6,16
HM,16,7,16
GU,16,6,16
PG,15,6,15
TW,15,5,15
MO,15,5,15
IL,15,5,15
AW,14,5,14
IS,14,5,14
BM,14,5,14
CL,13,5,13
BB,13,5,13
EH,13,5,13
MT,13,5,13
OM,13,5,13
TT,13,5,13
CV,12,4,12
BH,11,4,11
VG,11,4,11
KN,11,4,11
EC,11,4,11
FO,10,4,10
KM,10,3,10
TC,10,4,10
FR,9,3,6
CR,9,3,9
LC,9,3,9
NC,9,3,9
SB,9,3,9
VI,8,3,8
AX,8,3,8
NL,7,2,4
WS,6,2,6
CW,6,2,6
GG,6,2,6
AI,6,2,6
ST,5,2,5
BS,5,2,5
GQ,5,2,5
DM,4,1,4
AD,4,1,4
MP,4,1,4
